City Feature,Common Name,Address,Website,Longitude,Latitude,Location
Traffic Cameras,,NE 45th St at Union Bay Place NE,http://www.seattle.gov/trafficcams/45_Union_Bay.htm,-122.292855,47.661239,"(47.661239, -122.292855)"
Traffic Cameras,,Alaskan Way S at S Washington St,http://www.seattle.gov/trafficcams/alaskan_wash.htm,-122.33598,47.600875,"(47.600875, -122.33598)"
Traffic Cameras,,Aurora Ave N at Aloha S,http://www.seattle.gov/trafficcams/Aurora_Aloha.htm,-122.343553,47.627142,"(47.627142, -122.343553)"
Traffic Cameras,,Aurora Ave N and 145th St,http://www.seattle.gov/trafficcams/aurora_145tha.htm,-122.345105,47.73429,"(47.73429, -122.345105)"
Traffic Cameras,,Aurora Ave N and 130th St,http://www.seattle.gov/trafficcams/aurora_130tha.htm,-122.344981,47.723323,"(47.723323, -122.344981)"
Traffic Cameras,,Aurora Ave N and 130th St,http://www.seattle.gov/trafficcams/aurora_130thb.htm,-122.344766,47.722915,"(47.722915, -122.344766)"
Traffic Cameras,,Aurora Ave N and 103rd St,http://www.seattle.gov/trafficcams/aurora_103rd.htm,-122.344679,47.703601,"(47.703601, -122.344679)"
Traffic Cameras,,Aurora Ave N and 85th St,http://www.seattle.gov/trafficcams/aurora_85th.htm,-122.344518,47.69065,"(47.69065, -122.344518)"
Traffic Cameras,,Aurora Ave N and Winona Ave N,http://www.seattle.gov/trafficcams/aurora_winona.htm,-122.346392,47.681802,"(47.681802, -122.346392)"
Traffic Cameras,,Montlake Blvd NE at 25th Ave NE,http://www.seattle.gov/trafficcams/Montlake_25th.htm,-122.30114,47.65898,"(47.65898, -122.30114)"
Traffic Cameras,,Montlake Blvd NE at Lake Washington Blvd,http://www.seattle.gov/trafficcams/Montlake_LakeWash.htm,-122.30415,47.644011,"(47.644011, -122.30415)"
Traffic Cameras,,Aurora Ave N and 145th St,http://www.seattle.gov/trafficcams/aurora_145thb.htm,-122.345093,47.733879,"(47.733879, -122.345093)"
Traffic Cameras,,Aurora Ave N and 105th St,http://www.seattle.gov/trafficcams/aurora_105th.htm,-122.344697,47.705049,"(47.705049, -122.344697)"
Traffic Cameras,,Aurora Ave N and 87th St,http://www.seattle.gov/trafficcams/aurora_87th.htm,-122.344541,47.69201,"(47.69201, -122.344541)"
Traffic Cameras,,Montlake Blvd NE at NE Pacific St,http://www.seattle.gov/trafficcams/Montlake_Pacific.htm,-122.30465,47.651073,"(47.651073, -122.30465)"
Traffic Cameras,,NE Northgate Way and 1st Ave NE,http://www.seattle.gov/trafficcams/northgate_1st.htm,-122.328636,47.708628,"(47.708628, -122.328636)"
Traffic Cameras,,Fairview and Valley St,http://www.seattle.gov/trafficcams/fairview_valley.htm,-122.334542,47.625958,"(47.625958, -122.334542)"
Traffic Cameras,,Royal Brougham at Safeco Field,http://www.seattle.gov/trafficcams/royal_safeco.htm,-122.333266,47.592394,"(47.592394, -122.333266)"
Traffic Cameras,,1st Ave S at S Holgate St,http://www.seattle.gov/trafficcams/1st_Holgate.htm,-122.335124,47.586104,"(47.586104, -122.335124)"
Traffic Cameras,,West Seattle Bridge Mid-span,http://www.seattle.gov/trafficcams/WSB_Mid-span.htm,-122.363502,47.571481,"(47.571481, -122.363502)"
Traffic Cameras,,E Marginal Way at S Hudson St,http://www.seattle.gov/trafficcams/Marginal_Hudson.htm,-122.339113,47.557411,"(47.557411, -122.339113)"
Traffic Cameras,,Lake City Way at 145th,http://www.seattle.gov/trafficcams/lakecity_145th.htm,-122.292435,47.733753,"(47.733753, -122.292435)"
Traffic Cameras,,125th at Lakecity Way,http://www.seattle.gov/trafficcams/125th_lakecity.htm,-122.295031,47.71928,"(47.71928, -122.295031)"
Traffic Cameras,,I-5 at NE 145th Street,http://www.seattle.gov/trafficcams/i5_145th.htm,-122.325597,47.734067,"(47.734067, -122.325597)"
Traffic Cameras,,I-5 at Lake City Way,http://www.seattle.gov/trafficcams/i5_lakecityway.htm,-122.320986,47.681385,"(47.681385, -122.320986)"
Traffic Cameras,,SR 520 at Montlake Blvd,http://www.seattle.gov/trafficcams/sr520_montlake.htm,-122.30417,47.644416,"(47.644416, -122.30417)"
Off Leash Areas,Genesee Park & Playfield,4316 S Genesee St.,http://www.seattle.gov/parks/offleash_detail.asp?ID=409,-122.276077,47.563948,"(47.563948, -122.276077)"
Off Leash Areas,Sand Point/Magnuson Park,6550 Sand Point Way NE,http://www.seattle.gov/parks/offleash_detail.asp?ID=398,-122.257095,47.682704,"(47.682704, -122.257095)"
Off Leash Areas,Woodland Park,Aurora Ave. N and N 59th St.,http://www.seattle.gov/parks/offleash_detail.asp?ID=292,-122.344309,47.670424,"(47.670424, -122.344309)"
Off Leash Areas,Plymouth Pillars Park,Broen Ave and Pike St,http://www.seattle.gov/parks/offleash_detail.asp?ID=4000,-122.329092,47.614124,"(47.614124, -122.329092)"
Off Leash Areas,Sam Smith Park/Blue Dog Pond,Martin Luther King Jr. Way & S Massachusetts St.,http://www.seattle.gov/parks/offleash_detail.asp?ID=4242,-122.298633,47.588889,"(47.588889, -122.298633)"
Off Leash Areas,Golden Gardens Park,8498 Seaview Pl. NW,http://www.seattle.gov/parks/offleash_detail.asp?ID=243,-122.400637,47.690902,"(47.690902, -122.400637)"
Off Leash Areas,Dr. Jose Rizal Park,1008 12th Ave. S,http://www.seattle.gov/parks/offleash_detail.asp?ID=433,-122.318094,47.593859,"(47.593859, -122.318094)"
Off Leash Areas,Northacres Park,12718 1st Ave. NE,http://www.seattle.gov/parks/offleash_detail.asp?ID=361,-122.326124,47.721775,"(47.721775, -122.326124)"
Off Leash Areas,Regrade Park,2251 3rd Ave.,http://www.seattle.gov/parks/offleash_detail.asp?ID=336,-122.344776,47.614346,"(47.614346, -122.344776)"
Off Leash Areas,Westcrest Park,8806 8th Ave SW,http://www.seattle.gov/parks/offleash_detail.asp?ID=468,-122.341719,47.525783,"(47.525783, -122.341719)"
Off Leash Areas,I-5 Colonnade,"Beneath I-5, South of E Howe St",http://www.seattle.gov/parks/offleash_detail.asp?ID=4446,-122.323409,47.634898,"(47.634898, -122.323409)"
Boat Launches,Cormorant Cove Park Boat Launch,3701 Beach Dr. SW,http://www.seattle.gov/parks/park_detail.asp?ID=295,-122.41126,47.570967,"(47.570967, -122.41126)"
Boat Launches,Lowman Park Boat Launch,7017 Beach Dr. SW,http://www.seattle.gov/parks/park_detail.asp?ID=461,-122.397522,47.540127,"(47.540127, -122.397522)"
Boat Launches,Duwamish Waterway Park Boat Launch,7900 10th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=705,-122.319716,47.531384,"(47.531384, -122.319716)"
Boat Launches,Golden Gardens Park Boat Launch,8498 Seaview Pl. NW,http://www.seattle.gov/parks/park_detail.asp?ID=9999,-122.403121,47.689725,"(47.689725, -122.403121)"
Boat Launches,Fairview Walkway Boat Launch,2900 Fairview Ave. E,http://www.seattle.gov/parks/park_detail.asp?ID=2975,-122.327462,47.631626,"(47.631626, -122.327462)"
Boat Launches,Day Street Boat Launch,1400 Lakeside Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=4082,-122.285738,47.590064,"(47.590064, -122.285738)"
Boat Launches,Stan Sayers/Mount Baker Rowing And Sailing Center Boat Launch,3800 Lake Washington Blvd. S.,http://www.seattle.gov/parks/park_detail.asp?ID=425,-122.278219,47.570356,"(47.570356, -122.278219)"
Boat Launches,Sand Point Magnuson Park-North Shore Boat Launch,6550 Sand Point Way NE,http://www.seattle.gov/parks/park_detail.asp?ID=398,-122.265028,47.689261,"(47.689261, -122.265028)"
Boat Launches,Lincoln Park Boat Launch,8011 Fauntleroy Way SW,http://www.seattle.gov/parks/park_detail.asp?ID=460,-122.394806,47.526098,"(47.526098, -122.394806)"
Boat Launches,Green Lake Small Craft Center,5900 W Green Lake Way N,http://www.seattle.gov/parks/park_detail.asp?ID=9998,-122.342949,47.671761,"(47.671761, -122.342949)"
Boat Launches,Alki Beach Park - West Boat Launch,1702 Alki Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=445,-122.414817,47.578243,"(47.578243, -122.414817)"
Boat Launches,Carkeek Park Landing,950 NW Carkeek Park Rd.,http://www.seattle.gov/parks/park_detail.asp?ID=240,-122.379763,47.712194,"(47.712194, -122.379763)"
Boat Launches,Leschi Park Boat Ramp,100 Lakeside Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=367,-122.284211,47.601518,"(47.601518, -122.284211)"
Boat Launches,14th Ave. Nw Boat Ramp,NW 45th St. and 14 Ave. NW,http://www.seattle.gov/parks/park_detail.asp?ID=4010,-122.373536,47.660775,"(47.660775, -122.373536)"
Boat Launches,Richey View Point Launch,63rd Ave. SW and Beach Dr. SW,http://www.seattle.gov/parks/park_detail.asp?ID=80,-122.413877,47.57242,"(47.57242, -122.413877)"
Boat Launches,Green Lake Park Cove Boat Lauch,7201 E Green Lake Dr. N,http://www.seattle.gov/parks/park_detail.asp?ID=307,-122.330394,47.678938,"(47.678938, -122.330394)"
Boat Launches,Mccurdy Park Boat Launch,E Hamlin St. and E Park Dr. E,http://www.seattle.gov/parks/park_detail.asp?ID=372,-122.299178,47.645437,"(47.645437, -122.299178)"
Boat Launches,32nd Ave. West Boat Launch,The southern street end of 32nd Ave. W,http://www.seattle.gov/parks/park_detail.asp?ID=317,-122.398993,47.632366,"(47.632366, -122.398993)"
Boat Launches,Sunnyside Ave. N Boat Ramp,2301 NE Northlake Way,http://www.seattle.gov/parks/park_detail.asp?ID=3903,-122.330723,47.650292,"(47.650292, -122.330723)"
Boat Launches,Fairview Park  Boat Launch,2900 Fairview Ave. E,http://www.seattle.gov/parks/park_detail.asp?ID=2975,-122.325368,47.647413,"(47.647413, -122.325368)"
Boat Launches,Ferdinand Street Boat Launch,100 Lakeside Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=367,-122.261655,47.557318,"(47.557318, -122.261655)"
Boat Launches,Terry Pettus Park Boat Launch,E Newton St. and Fairview Ave. E,http://www.seattle.gov/parks/park_detail.asp?ID=3889,-122.329456,47.636752,"(47.636752, -122.329456)"
Boat Launches,Seacrest Park Boat Launch,1531 California Way SW,http://www.seattle.gov/parks/park_detail.asp?ID=455,-122.381226,47.589941,"(47.589941, -122.381226)"
Boat Launches,Atlantic City Boat Ramp,8702 Seward Park Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=4081,-122.263078,47.522834,"(47.522834, -122.263078)"
Boat Launches,South Lake Union Park Boat Launch,1000 Valley St.,http://www.seattle.gov/parks/park_detail.asp?ID=344,-122.338848,47.627015,"(47.627015, -122.338848)"
Boat Launches,Green Lake Park East Boat Launch,foot of NE 64th St.,http://www.seattle.gov/parks/park_detail.asp?ID=9996,-122.334113,47.675506,"(47.675506, -122.334113)"
Boat Launches,Beer Sheva Park Boat Launch,8650 55th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=440,-122.262859,47.523512,"(47.523512, -122.262859)"
Boat Launches,Matthews Beach Boat Launch,9300 51st Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=347,-122.271785,47.694564,"(47.694564, -122.271785)"
Boat Launches,Martha Washington Park Boat Launch,6612 57th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=432,-122.259287,47.542212,"(47.542212, -122.259287)"
Boat Launches,South Passage Park Boat Launch,3320 Fuhrman Ave. E,http://www.seattle.gov/parks/park_detail.asp?ID=377,-122.322486,47.652087,"(47.652087, -122.322486)"
Boat Launches,Alki Beach Park - East Boat Launch,1702 Alki Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=445,-122.402173,47.582912,"(47.582912, -122.402173)"
Boat Launches,Magnuson Park Boat Ramp,6550 Sand Point Way NE,http://www.seattle.gov/parks/park_detail.asp?ID=398,-122.250113,47.676856,"(47.676856, -122.250113)"
Boat Launches,Green Lake Park West Boat Launch,NW of Duck Island,http://www.seattle.gov/parks/park_detail.asp?ID=9995,-122.342511,47.680833,"(47.680833, -122.342511)"
Boat Launches,Washington Park And Arboretum Boat Launch,2300 Arboretum Dr. E,http://www.seattle.gov/parks/park_detail.asp?ID=393,-122.292647,47.641707,"(47.641707, -122.292647)"
Boat Launches,Seward Park Boat Launch,5902 Lake Washington Blvd. S,http://www.seattle.gov/parks/park_detail.asp?ID=428,-122.250639,47.54923,"(47.54923, -122.250639)"
Boat Launches,Eddie Vine Boat Ramp,8001 Seaview Ave. NW,http://www.seattle.gov/parks/park_detail.asp?ID=243,-122.403454,47.686852,"(47.686852, -122.403454)"
Boat Launches,Magnuson Park Boat Launch,6550 Sand Point Way NE,http://www.seattle.gov/parks/park_detail.asp?ID=398,-122.250151,47.675322,"(47.675322, -122.250151)"
Boat Launches,Stan Sayers Memorial Park Boat Ramp,3800 Lake Washington Blvd. S.,http://www.seattle.gov/parks/park_detail.asp?ID=425,-122.277162,47.571222,"(47.571222, -122.277162)"
Boat Launches,Don Armeni Boat Ramp,1222 Harbor Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=3917,-122.382295,47.59274,"(47.59274, -122.382295)"
Libraries,Broadview,12755 GREENWOOD AV N,http://www.spl.org/default.asp?pageID=branch_open&branchID=5,-122.356032,47.723004,"(47.723004, -122.356032)"
Libraries,Delridge,5423 DELRIDGE WAY SW,http://www.spl.org/default.asp?pageID=branch_open&branchID=8,-122.363319,47.553047,"(47.553047, -122.363319)"
Libraries,Green Lake,7364 E GREEN LAKE DR N,http://www.spl.org/default.asp?pageID=branch_open&branchID=11,-122.326717,47.681501,"(47.681501, -122.326717)"
Libraries,International District,713 8TH AV S,http://www.spl.org/default.asp?pageID=branch_open&branchID=14,-122.322834,47.596249,"(47.596249, -122.322834)"
Libraries,Mobile Services,2025 9TH AV,http://www.spl.org/default.asp?pageID=branch_mobile&branchID=30,-122.337025,47.616804,"(47.616804, -122.337025)"
Libraries,Lake City,12501 28TH AV NE,http://www.spl.org/default.asp?pageID=branch_open&branchID=15,-122.298087,47.719861,"(47.719861, -122.298087)"
Libraries,Madrona\Sally Goldmark,1134 33RD AV,http://www.spl.org/default.asp?pageID=branch_open&branchID=16,-122.290014,47.612674,"(47.612674, -122.290014)"
Libraries,Magnolia,2801 34TH AV W,http://www.spl.org/default.asp?pageID=branch_open&branchID=17,-122.401344,47.645316,"(47.645316, -122.401344)"
Libraries,Montlake,2401 24TH AV E,http://www.spl.org/default.asp?pageID=branch_open&branchID=18,-122.301591,47.639747,"(47.639747, -122.301591)"
Libraries,Newholly,7058 32ND AV S,http://www.spl.org/default.asp?pageID=branch_open&branchID=19,-122.290951,47.538994,"(47.538994, -122.290951)"
Libraries,North East,6801 35TH AV NE,http://www.spl.org/default.asp?pageID=branch_open&branchID=20,-122.290711,47.677854,"(47.677854, -122.290711)"
Libraries,Northgate,10548 5TH AV NE,http://www.spl.org/default.asp?pageID=branch_open&branchID=21,-122.322677,47.706193,"(47.706193, -122.322677)"
Libraries,Queen Anne,400 W GARFIELD ST,http://www.spl.org/default.asp?pageID=branch_open&branchID=22,-122.362744,47.633781,"(47.633781, -122.362744)"
Libraries,Rainier Beach,9125 RAINIER AV S,http://www.spl.org/default.asp?pageID=branch_open&branchID=23,-122.270465,47.521356,"(47.521356, -122.270465)"
Libraries,Southwest,9010 35TH AV SW,http://www.spl.org/default.asp?pageID=branch_open&branchID=26,-122.376182,47.522442,"(47.522442, -122.376182)"
Libraries,Talking Book\  & Braille,2021 9TH AV,http://www.wtbbl.org/,-122.336823,47.61668,"(47.61668, -122.336823)"
Libraries,University,5009 ROOSEVELT WY NE,http://www.spl.org/default.asp?pageID=branch_open&branchID=27,-122.317863,47.665539,"(47.665539, -122.317863)"
Libraries,Wallingford,1501 N 45TH ST,http://www.spl.org/default.asp?pageID=branch_open&branchID=28,-122.339104,47.661174,"(47.661174, -122.339104)"
Libraries,West Seattle,2306 42ND AV SW,http://www.spl.org/default.asp?pageID=branch_open&branchID=29,-122.384757,47.582695,"(47.582695, -122.384757)"
Libraries,Ballard,5614 22ND AV NW,http://www.spl.org/default.asp?pageID=branch_open&branchID=3,-122.384204,47.669843,"(47.669843, -122.384204)"
Libraries,Beacon Hill,2821 BEACON AV S,http://www.spl.org/default.asp?pageID=branch_open&branchID=4,-122.311407,47.578046,"(47.578046, -122.311407)"
Libraries,Capitol Hill,425 HARVARD AV E,http://www.spl.org/default.asp?pageID=branch_open&branchID=6,-122.322451,47.622914,"(47.622914, -122.322451)"
Libraries,Central,1000 4TH AV,http://www.spl.org/default.asp?pageID=branch_central&branchID=1,-122.332968,47.606485,"(47.606485, -122.332968)"
Libraries,Columbia,4721 RAINIER AV S,http://www.spl.org/default.asp?pageID=branch_open&branchID=7,-122.286879,47.559947,"(47.559947, -122.286879)"
Libraries,Douglas-Truth,2300 E YESLER WAY,http://www.spl.org/default.asp?pageID=branch_open&branchID=9,-122.301832,47.601903,"(47.601903, -122.301832)"
Libraries,Fremont,731 N 35TH ST,http://www.spl.org/default.asp?pageID=branch_open&branchID=10,-122.3484,47.650068,"(47.650068, -122.3484)"
Libraries,Greenwood,8016 GREENWOOD AV N,http://www.spl.org/default.asp?pageID=branch_open&branchID=12,-122.354965,47.687497,"(47.687497, -122.354965)"
Libraries,High Point,3411 SW RAYMOND ST,http://www.spl.org/default.asp?pageID=branch_open&branchID=13,-122.375814,47.548042,"(47.548042, -122.375814)"
Libraries,South Park Branch,8604 8th Ave S,http://www.spl.org/default.asp?pageID=branch_open&branchID=25,-122.32259,47.52627,"(47.52627, -122.32259)"
Fire Stations,Fire Station #26,800 S CLOVERDALE ST,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs26/26.htm,-122.322376,47.526718,"(47.526718, -122.322376)"
Fire Stations,Fire Station #29,2139 FERRY AV SW,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs29/29.htm,-122.38875,47.584393,"(47.584393, -122.38875)"
Fire Stations,Fire Station #33,9645 RENTON AV S,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs33/33.htm,-122.268662,47.515927,"(47.515927, -122.268662)"
Fire Stations,Fire Station #37,7300 35TH AV SW,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs37/37.htm,-122.376158,47.537193,"(47.537193, -122.376158)"
Fire Stations,Fire Station #40,9401 35TH AV NE,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs40/40.htm,-122.290937,47.696768,"(47.696768, -122.290937)"
Fire Stations,Fire Station #8,110 LEE ST,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs08/8.htm,-122.354985,47.631175,"(47.631175, -122.354985)"
Fire Stations,Fire Station #13,3601 BEACON AV S,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs13/13.htm,-122.308646,47.571742,"(47.571742, -122.308646)"
Fire Stations,Fire Station #18,1521 NW MARKET ST,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs18/18.htm,-122.377331,47.66839,"(47.66839, -122.377331)"
Fire Stations,Fire Station #22,901 E ROANOKE ST,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs22/22.htm,-122.32085,47.642981,"(47.642981, -122.32085)"
Fire Stations,Fire Station #3,1735 West Thurman,http://www.seattle.gov/fire/firestations/stations.htm#sta3,-122.37875,47.6555,"(47.6555, -122.37875)"
Fire Stations,Fire Station #21,7304 GREENWOOD AV N,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs21/21.htm,-122.354972,47.682034,"(47.682034, -122.354972)"
Fire Stations,Fire Station #24,401 N 130TH ST,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs24/24.htm,-122.353826,47.723053,"(47.723053, -122.353826)"
Fire Stations,Fire Station #27,1000 S MYRTLE ST,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs27/27.htm,-122.319907,47.53966,"(47.53966, -122.319907)"
Fire Stations,Fire Station #28,5968 RAINIER AV S,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs28/28.htm,-122.276503,47.548476,"(47.548476, -122.276503)"
Fire Stations,Fire Station #30,2931 S MOUNT BAKER BLVD,,-122.294701,47.575614,"(47.575614, -122.294701)"
Fire Stations,Fire Station #31,1319 N NORTHGATE WY,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs31/31.htm,-122.341029,47.704816,"(47.704816, -122.341029)"
Fire Stations,Fire Station #32,3715 SW ALASKA ST,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs32/32.htm,-122.379741,47.560813,"(47.560813, -122.379741)"
Fire Stations,Fire Station #34,633 32ND AV E,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs34/34.htm,-122.291334,47.626,"(47.626, -122.291334)"
Fire Stations,Fire Station #35,8729 15TH AV NW,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs35/35.htm,-122.377173,47.693288,"(47.693288, -122.377173)"
Fire Stations,Fire Station #36,3600 23RD AV SW,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs36/36.htm,-122.361734,47.571034,"(47.571034, -122.361734)"
Fire Stations,Fire Station #38,5503 33RD AV NE,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs38/38.htm,-122.293007,47.668721,"(47.668721, -122.293007)"
Fire Stations,Fire Station #39,12705 30TH AV NE,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs39/39.htm,-122.296691,47.721342,"(47.721342, -122.296691)"
Fire Stations,Fire Station #41,2416 34TH AV W,http://www.seattle.gov/fleetsfacilities/firelevy/facilities/fs41/41.htm,-122.400527,47.640129,"(47.640129, -122.400527)"
